label,x,y,text,id,position,width,distance
Narrative,417.0,2220.0,Stamp duty paid in cash,10,5,856.0,407.3143748997818
Narrative,421.0,2220.0,Stamp,10,5,176.0,407.17686574755203
Narrative,623.0,2220.0,duty,10,7,150.0,449.16478045367717
Narrative,803.0,2221.0,paid,10,7,159.0,550.7848944914884
Narrative,996.0,2222.0,in,10,7,79.0,695.8807369082722
Narrative,1110.0,2223.0,cash,10,7,158.0,791.4726779870547
Narrative,2566.0,2214.0,Branch MAZRAAT YACHOUH,10,7,799.0,2170.3663285261314
Narrative,2820.0,2207.0,MAZRAAT,10,7,256.0,2419.2984520310843
Narrative,3113.0,2197.0,YACHOUH,10,7,241.0,2707.370680198779
Reference,1127.0,627.0,15/04/21 11:47,11,2,508.0,1615.96318027361
Reference,1128.0,628.0,15/04/21,11,2,285.0,1615.4965181020973
Reference,3032.0,1529.0,19/04/2021,11,2,330.0,2664.235725306603
Reference,424.0,2082.0,Reference : TT/21105/,11,5,772.0,2.23606797749979
Reference,850.0,2083.0,TT/21105/,11,4,345.0,424.0
Bank,1882.0,335.0,F,12,1,87.0,1871.6436626665877
Bank,1996.0,400.0,LIBANO-FRANÇAISE,12,1,678.0,1771.2439131864364
Bank,1127.0,627.0,15/04/21 11:47,12,1,508.0,2044.251696831875
Bank,1128.0,628.0,15/04/21,12,1,285.0,2042.8374874179297
Bank,1449.0,628.0,11:47,12,1,187.0,1830.602086746325
Bank,488.0,712.0,Credit advice,12,1,453.0,2488.183473942386
Bank,490.0,714.0,Credit,12,1,197.0,2485.4144523600085
Bank,724.0,706.0,advice,12,1,208.0,2298.0263270902706
Bank,486.0,769.0,Cash deposit,12,1,413.0,2459.092922197126
Bank,486.0,771.0,Cash,12,1,128.0,2458.0305124224965
Bank,646.0,770.0,deposit,12,1,250.0,2324.556947033133
Bank,1359.0,944.0,6-001-840-JDE,12,1,466.0,1656.9622808018291
Bank,2692.0,1084.0,LBP,12,2,104.0,999.5964185610111
Bank,3033.0,1084.0,"2,040,000",12,2,306.0,1095.1529573534465
Bank,2694.0,1150.0,USD,12,2,108.0,934.3987371566809
Bank,3309.0,1155.0,0,12,2,37.0,1181.4571511485299
Bank,2687.0,1209.0,USD,12,2,120.0,874.9931428302739
Bank,3217.0,1215.0,0.66,12,2,137.0,1077.6015033397086
Bank,2630.0,1340.0,USD,12,0,176.0,738.5235270456859
Bank,3090.0,1339.0,"1,342.11",12,2,265.0,902.5574773940992
Bank,3830.0,1306.0,A,12,2,-148.0,1477.5049915313316
Bank,2696.0,1470.0,USD,12,2,118.0,619.1647599791189
Bank,3097.0,1466.0,"1,341.45",12,2,261.0,806.7738220839841
Bank,3032.0,1529.0,19/04/2021,12,2,330.0,716.6435655191499
Bank,2917.0,1597.0,"1,520.0000000",12,2,448.0,592.0684082097271
Bank,429.0,1745.0,Ordering customer :,12,1,701.0,2165.4470670048713
Bank,429.0,1746.0,Ordering,12,1,284.0,2165.29443725328
Bank,747.0,1746.0,customer,12,1,300.0,1851.6435942156902
Bank,1092.0,1810.0,regl pdld,12,1,425.0,1500.7614733860942
Bank,1162.0,1811.0,regl,12,1,150.0,1431.7381045428665
Bank,1347.0,1808.0,pdld,12,1,155.0,1251.0427650564147
Bank,2865.0,1760.0,REÇU,12,2,206.0,432.9803690700076
Bank,2661.0,1875.0,ANQUE LIBANO-FRANÇAISE S.A.L,12,0,609.0,221.05429197371402
Bank,2671.0,1878.0,ANQUE,12,0,128.0,222.72853431924702
Bank,2809.0,1860.0,LIBANO-FRANÇAISE,12,2,356.0,322.88697712976904
Bank,3175.0,1806.0,S.A.L,12,2,93.0,663.4274640079351
Bank,2844.0,1984.0,15 APR 2021,12,2,295.0,289.98103386256145
Bank,2845.0,1984.0,15,12,2,69.0,290.9295447354909
Bank,2929.0,1976.0,APR,12,2,91.0,373.6308338453881
Bank,3035.0,1964.0,2021,12,2,102.0,479.27027865287033
Bank,424.0,2082.0,Reference : TT/21105/,12,3,772.0,2145.0083915919768
Bank,850.0,2083.0,TT/21105/,12,3,345.0,1719.0142524132834
Bank,2569.0,2069.0,BANQUE LIBANO-FRANCAISE,12,5,821.0,7.0
Bank,2816.0,2066.0,LIBANO-FRANCAISE,12,4,567.0,247.2023462671825
Bank,417.0,2220.0,Stamp duty paid in cash,12,6,856.0,2156.8124628720043
Bank,421.0,2220.0,Stamp,12,6,176.0,2152.821404575865
Bank,623.0,2220.0,duty,12,6,150.0,1951.3205784801225
Bank,803.0,2221.0,paid,12,6,159.0,1771.9427191644768
Bank,996.0,2222.0,in,12,6,79.0,1579.7610578818558
Bank,1110.0,2223.0,cash,12,6,158.0,1466.386715706331
Bank,2566.0,2214.0,Branch MAZRAAT YACHOUH,12,5,799.0,138.03260484392808
Bank,2820.0,2207.0,MAZRAAT,12,7,256.0,283.12894588861803
Bank,3113.0,2197.0,YACHOUH,12,7,241.0,557.294356691327
Branch,1882.0,335.0,F,13,1,87.0,2001.9350638819433
Branch,1996.0,400.0,LIBANO-FRANÇAISE,13,1,678.0,1903.6021117870193
Branch,1127.0,627.0,15/04/21 11:47,13,1,508.0,2145.6917299556335
Branch,1128.0,628.0,15/04/21,13,1,285.0,2144.27913294888
Branch,1449.0,628.0,11:47,13,1,187.0,1942.989963947318
Branch,488.0,712.0,Credit advice,13,1,453.0,2567.8265128314256
Branch,490.0,714.0,Credit,13,1,197.0,2565.0343077627635
Branch,724.0,706.0,advice,13,1,208.0,2384.281233411864
Branch,486.0,769.0,Cash deposit,13,1,413.0,2536.527547652499
